,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459781.8010417,99.0,99.0,g,21.000267668513,2.0,1.0
1,2459782.7185185,99.0,99.0,i,20.6790712298377,2.0,1.0
6,2459785.7603241,99.0,99.0,i,20.8042986197595,2.0,1.0
12,2459780.776088,18.141227722168,0.157417088747025,g,99.0,1.0,0.0
13,2459784.717581,19.3260955810547,0.176263689994812,g,99.0,1.0,0.0
14,2459788.759456,17.537878036499,0.099627360701561,r,99.0,1.0,0.0
15,2459780.776088,18.141227722168,0.157417088747025,g,99.0,1.0,0.0
16,2459784.717581,19.3260955810547,0.176263689994812,g,99.0,1.0,0.0
17,2459784.717581,19.3260955810547,0.176263689994812,g,99.0,1.0,0.0
